,Produto,Tipo Contrato,Data/Hora,MWm,MWh,Preço (R$),Cancelado
4156,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 09:44:22,1.0,744.0,224.0,Não
4157,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 09:44:15,1.0,744.0,224.5,Não
4158,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 09:43:07,1.0,744.0,224.5,Não
4159,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 09:41:39,1.0,744.0,224.0,Não
4160,SE CON MEN NOV/19 - Preço Fixo,Balcão,07/11/2019 09:40:43,3.0,2160.0,295.0,Não
4161,SE CON MEN NOV/19 - Preço Fixo,Balcão,07/11/2019 09:38:20,1.0,720.0,293.0,Não
4162,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 09:37:59,1.0,744.0,223.0,Não
4163,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 09:37:56,1.0,744.0,225.0,Não
4164,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 09:37:43,2.0,1488.0,225.0,Não
4165,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 09:37:43,1.0,744.0,224.9,Não
4166,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 09:37:43,2.0,1488.0,224.5,Não
4167,SE CON MEN DEZ/19 - Preço Fixo,Balcão,07/11/2019 09:37:43,1.0,744.0,224.0,Não
4168,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 09:27:36,5.0,3720.0,224.0,Não
4169,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 09:20:11,4.0,2976.0,220.0,Não
4170,SE CON MEN DEZ/19 - Preço Fixo,Boleta,07/11/2019 09:19:13,5.0,3720.0,220.0,Não
4171,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 18:08:42,6.0,4464.0,212.0,Não
4172,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 18:08:09,4.0,2976.0,211.0,Não
4173,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 18:05:39,4.0,2976.0,211.0,Não
4174,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 17:57:53,2.0,1488.0,212.0,Não
4175,SE CON MEN JAN/20 - Preço Fixo,Boleta,06/11/2019 17:57:43,1.0,744.0,208.5,Não
