,Produto,Tipo Contrato,Data/Hora,MWm,MWh,Preço (R$),Cancelado
264,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Balcão,09/12/2019 16:34:55,1.0,2184.0,180.0,Não
265,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,09/12/2019 15:47:36,2.0,4368.0,201.0,Não
266,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,09/12/2019 14:51:50,3.0,6552.0,202.0,Não
267,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,09/12/2019 14:46:08,1.0,2184.0,201.5,Não
268,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,09/12/2019 11:36:17,2.0,4368.0,204.0,Não
269,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,09/12/2019 11:36:10,1.0,2184.0,204.5,Não
270,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,09/12/2019 11:35:57,1.0,2184.0,205.0,Não
271,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,09/12/2019 11:35:56,1.0,2184.0,205.0,Não
272,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,09/12/2019 11:30:57,2.0,4368.0,203.5,Não
273,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,09/12/2019 11:30:56,0.7,1528.8,203.0,Não
274,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,09/12/2019 10:24:17,2.0,4368.0,200.0,Não
275,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,09/12/2019 10:19:12,0.1,218.4,200.0,Não
276,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,09/12/2019 10:18:31,5.0,10920.0,202.0,Não
277,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,09/12/2019 10:11:50,2.0,4368.0,200.0,Não
278,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,09/12/2019 10:08:51,2.0,4368.0,199.0,Não
279,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,09/12/2019 10:03:17,1.0,2184.0,200.0,Não
280,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,09/12/2019 09:59:39,1.0,2184.0,200.0,Não
281,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,09/12/2019 09:59:10,1.9,4149.6,200.0,Não
282,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,09/12/2019 09:58:55,3.0,6552.0,199.5,Não
283,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,09/12/2019 09:54:09,2.0,4368.0,199.0,Não
284,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,06/12/2019 16:30:35,5.0,10920.0,175.0,Não
285,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Boleta,06/12/2019 16:01:50,3.0,6552.0,171.0,Não
286,SE CON TRI ABR/20 JUN/20 - Preço Fixo,Balcão,06/12/2019 15:37:31,1.0,2184.0,176.0,Não
287,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,06/12/2019 14:40:39,2.0,4368.0,175.0,Não
288,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,06/12/2019 12:04:37,175.0,382200.0,2.0,Sim
289,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,06/12/2019 11:16:26,2.0,4368.0,176.5,Não
290,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,06/12/2019 10:26:26,1.0,2184.0,175.0,Não
291,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Balcão,06/12/2019 09:47:56,1.0,2184.0,176.0,Não
292,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,05/12/2019 18:07:22,1.0,2184.0,172.0,Não
293,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,05/12/2019 17:59:44,1.0,2184.0,170.0,Não
294,SE CON TRI JAN/20 MAR/20 - Preço Fixo,Boleta,05/12/2019 17:59:05,3.0,6552.0,170.0,Não
